Возраст, Количество_на_1000
0, 16.80828358
2, 66.52319964
6, 82.84576521
11, 82.59748298
16, 82.08532672
21, 80.80256343
26, 78.76766596
31, 76.30331649
36, 73.27105319
41, 69.31124813
46, 64.12494579
51, 57.505555
56, 49.57374262
61, 40.5467768
66, 31.01934856
71, 21.72122125
76, 13.62688146
81, 7.419656123
91, 5.145967075
